"";"classe 1";"classe 2";"classe 3";"classe 4"
"indirectement";4,822;-0,021;-1,186;-1,152
"incorporation";-0,005;4,311;-1,186;-1,152
"inclusion";11,084;-1,582;-1,186;-1,152
"ignorer";-1,45;-0,021;-1,186;6,416
"hoffman";-1,087;-1,186;0,188;3,408
"henri";-1,45;-1,582;-1,186;13,951
"h";-1,45;-1,582;-1,186;13,951
"guy";-1,45;-1,582;-1,186;13,951
"guider";-0,005;-1,582;-1,186;6,416
"gramme";-1,45;-1,582;-1,186;13,951
"graduellement";-1,45;0,931;1,681;-1,152
"genève";11,084;-1,582;-1,186;-1,152
"franc";-1,087;-1,186;10,161;-0,864
"figurer";1,129;-1,582;0,011;0,017
"fidèlement";-1,45;-1,582;-1,186;13,951
"ferraille";1,129;-0,021;0,011;-1,152
"faux";-1,45;-1,582;-1,186;13,951
"extraordinaire";-1,45;-1,582;13,556;-1,152
"excédent";-1,45;-1,582;13,556;-1,152
"erreur";-0,005;-0,021;1,681;-1,152
"efforcer";-0,005;-1,582;1,681;0,017
"détourner";-0,005;4,311;-1,186;-1,152
"déterminé";-0,005;-1,582;6,196;-1,152
"délibération";-0,005;-1,582;0,011;1,771
"dumping";-1,45;-1,582;13,556;-1,152
"dresser";-1,45;0,931;1,681;-1,152
"dossier";0,071;-1,186;-0,889;3,408
"dissimuler";-1,45;0,931;1,681;-1,152
"différer";1,129;0,931;-1,186;-1,152
"diffusion";-1,45;-1,582;0,011;6,416
"devise";-1,087;-1,186;10,161;-0,864
"deuxième";-1,45;-1,582;13,556;-1,152
"coûteux";-1,45;-1,582;13,556;-1,152
"corée";-1,45;4,311;0,011;-1,152
"corriger";-1,45;-1,582;-1,186;13,951
"conviction";-1,45;4,311;-1,186;0,017
"contractant";8,308;-1,186;-0,889;-0,864
"continuité";-1,45;-1,582;13,556;-1,152
"continuation";-1,45;0,931;1,681;-1,152
"contenu";-0,005;-0,021;-1,186;1,771
"contact";1,129;-1,582;0,011;0,017
"conséquent";-0,005;-0,021;0,011;0,017
"construction";-1,45;4,311;0,011;-1,152
"conserver";4,822;-1,582;0,011;-1,152
"conscience";-0,005;4,311;-1,186;-1,152
"connaitre";-0,005;-0,021;-1,186;1,771
"conflit";1,129;0,931;-1,186;-1,152
"conduite";-0,005;0,931;-1,186;0,017
"concevoir";-1,45;4,311;0,011;-1,152
"comparable";0,071;-1,186;3,279;-0,864
"collègue";-0,005;0,931;0,011;-1,152
"collaboration";-1,45;0,931;0,011;0,017
"cohésion";-1,45;0,931;-1,186;1,771
"ciment";-1,45;-1,582;13,556;-1,152
"chercher";-0,005;0,931;0,011;-1,152
"capitale";-0,005;0,931;0,011;-1,152
"campagne";-1,45;-0,021;0,011;1,771
"busset";-1,45;-1,582;-1,186;13,951
"bourbon";-1,45;-1,582;-1,186;13,951
"bateau";-1,087;0,038;0,188;0,21
"banque";-0,005;-1,582;6,196;-1,152
"autrement";-0,005;-0,021;1,681;-1,152
"atmosphère";-0,005;0,931;-1,186;0,017
"articulé";-0,005;0,931;-1,186;0,017
"articulation";-1,45;4,311;0,011;-1,152
"arrêt";-1,45;0,931;1,681;-1,152
"arrivée";-1,45;-0,021;1,681;0,017
"annonce";1,129;-1,582;-1,186;1,771
"afrique";4,822;-0,021;-1,186;-1,152
"adoption";-0,005;-1,582;1,681;0,017
"adhésion";2,478;0,038;-0,889;-0,864
"adaptation";-0,005;-0,021;1,681;-1,152
"accusation";-1,45;-1,582;-1,186;13,951
"accru";-1,45;0,931;1,681;-1,152
"abaissement";-1,45;-1,582;13,556;-1,152
"évidence";-1,087;2,181;0,188;-0,864
"état_major";-1,087;7,616;-0,889;-0,864
"ériger";0,071;-1,186;3,279;-0,864
"énoncé";0,071;0,038;-0,889;0,21
"énergie";-1,087;-1,186;10,161;-0,864
"émettre";0,071;-1,186;0,188;0,21
"économiquement";2,478;-1,186;0,188;-0,864
"écart";0,071;-1,186;3,279;-0,864
"voix";-1,087;2,181;-0,889;0,21
"voisin";-1,087;7,616;-0,889;-0,864
"vivre";-1,087;2,181;0,188;-0,864
"vivant";-1,087;7,616;-0,889;-0,864
"visite";0,071;0,038;-0,889;0,21
"variété";-1,087;-1,186;10,161;-0,864
"variation";2,478;-1,186;0,188;-0,864
"valoir";2,478;-1,186;-0,889;0,21
"uri";-1,087;-1,186;-0,889;10,458
"unanimité";8,308;-1,186;-0,889;-0,864
"tôt";0,071;0,038;0,188;-0,864
"tête";-1,087;2,181;-0,889;0,21
"témoigner";-1,087;2,181;-0,889;0,21
"téléphonique";-1,087;-1,186;-0,889;10,458
"travers";-1,087;0,038;3,279;-0,864
"transformer";0,071;2,181;-0,889;-0,864
"transfert";2,478;-1,186;0,188;-0,864
"traitement";0,071;-1,186;3,279;-0,864
"traditionnellement";0,071;0,038;0,188;-0,864
"tomlinson";-1,087;0,038;-0,889;3,408
"tension";-1,087;7,616;-0,889;-0,864
"séjour";-1,087;-1,186;-0,889;10,458
"séculaire";-1,087;7,616;-0,889;-0,864
"suspens";2,478;0,038;-0,889;-0,864
"supprimer";-1,087;-1,186;10,161;-0,864
"suffrage";2,478;0,038;-0,889;-0,864
"spécifique";-1,087;2,181;0,188;-0,864
"soupçon";-1,087;2,181;0,188;-0,864
"souffrir";-1,087;2,181;0,188;-0,864
"souci";0,071;0,038;-0,889;0,21
"sinistré";-1,087;-1,186;10,161;-0,864
"schumann";-1,087;-1,186;-0,889;10,458
"satisfaire";-1,087;-1,186;10,161;-0,864
"réticent";0,071;2,181;-0,889;-0,864
"résumé";0,071;-1,186;-0,889;3,408
"régulièrement";-1,087;-1,186;0,188;3,408
"référer";-1,087;0,038;-0,889;3,408
"rupture";0,071;0,038;0,188;-0,864
"retenir";-1,087;0,038;-0,889;3,408
"restriction";-1,087;2,181;0,188;-0,864
"restreint";0,071;-1,186;-0,889;3,408
"remplir";2,478;-1,186;0,188;-0,864
"relater";-1,087;-1,186;-0,889;10,458
"relais";-1,087;0,038;3,279;-0,864
"redressement";-1,087;0,038;3,279;-0,864
"rassemblement";-1,087;7,616;-0,889;-0,864
"rabais";8,308;-1,186;-0,889;-0,864
"quotidien";0,071;-1,186;3,279;-0,864
"quota";0,071;-1,186;-0,889;3,408
"pur";0,071;0,038;-0,889;0,21
"préoccuper";0,071;0,038;-0,889;0,21
"précédent";-1,087;2,181;0,188;-0,864
"précédemment";2,478;-1,186;0,188;-0,864
"précisément";0,071;-1,186;3,279;-0,864
"progresser";0,071;2,181;-0,889;-0,864
"pression";-1,087;2,181;-0,889;0,21
"pratiquer";0,071;0,038;0,188;-0,864
"poursuite";0,071;0,038;0,188;-0,864
"posséder";0,071;0,038;0,188;-0,864
"portant";2,478;-1,186;-0,889;0,21
"populaire";8,308;-1,186;-0,889;-0,864
"politiquement";0,071;0,038;0,188;-0,864
"plébiscite";-1,087;7,616;-0,889;-0,864
"pinay";-1,087;-1,186;-0,889;10,458
"pierre";-1,087;-1,186;-0,889;10,458
"petit";-1,087;2,181;0,188;-0,864
"pensée";-1,087;7,616;-0,889;-0,864
"payer";-1,087;-1,186;10,161;-0,864
"pacte";0,071;2,181;-0,889;-0,864
"ouvert";0,071;2,181;-0,889;-0,864
"ottawa";2,478;0,038;-0,889;-0,864
"organique";0,071;2,181;-0,889;-0,864
"organe";-1,087;2,181;0,188;-0,864
"ordinaire";-1,087;-1,186;10,161;-0,864
"offshore";-1,087;-1,186;10,161;-0,864
"officiel";-1,087;-1,186;-0,889;10,458
"office";8,308;-1,186;-0,889;-0,864
"négociateur";0,071;0,038;0,188;-0,864
"nécessairement";-1,087;7,616;-0,889;-0,864
"novembre";-1,087;-1,186;-0,889;10,458
"normal";-1,087;2,181;0,188;-0,864
"nancière";-1,087;-1,186;10,161;-0,864
"mêler";-1,087;2,181;0,188;-0,864
"monétaire";-1,087;0,038;3,279;-0,864
"minimum";2,478;-1,186;0,188;-0,864
"militairement";-1,087;7,616;-0,889;-0,864
"marchandise";-1,087;0,038;3,279;-0,864
"mandataire";2,478;0,038;-0,889;-0,864
"machine";-1,087;-1,186;10,161;-0,864
"lourd";-1,087;2,181;0,188;-0,864
"longuement";0,071;-1,186;-0,889;3,408
"londres";0,071;0,038;-0,889;0,21
"lire";-1,087;-1,186;-0,889;10,458
"libération";-1,087;0,038;3,279;-0,864
"justifier";0,071;-1,186;0,188;0,21
"justement";-1,087;2,181;0,188;-0,864
"irréversible";-1,087;-1,186;10,161;-0,864
"irréductible";2,478;0,038;-0,889;-0,864
"inévitablement";-1,087;2,181;0,188;-0,864
"introduire";0,071;0,038;-0,889;0,21
"introduction";0,071;-1,186;-0,889;3,408
"intime";-1,087;0,038;-0,889;3,408
"intervalle";0,071;0,038;-0,889;0,21
"interpréter";0,071;2,181;-0,889;-0,864
"intergouvernemental";8,308;-1,186;-0,889;-0,864
"insuffisant";-1,087;0,038;3,279;-0,864
"insistance";-1,087;2,181;-0,889;0,21
"initial";8,308;-1,186;-0,889;-0,864
"inflation";-1,087;0,038;3,279;-0,864
"indépendant";2,478;0,038;-0,889;-0,864
"incorporer";0,071;2,181;-0,889;-0,864
"inciter";0,071;0,038;0,188;-0,864
"incessamment";0,071;-1,186;-0,889;3,408
"incertitude";-1,087;2,181;0,188;-0,864
"inacceptable";0,071;2,181;-0,889;-0,864
"impliquer";0,071;0,038;0,188;-0,864
"impasse";-1,087;7,616;-0,889;-0,864
"hâter";-1,087;7,616;-0,889;-0,864
"hypothèse";0,071;-1,186;0,188;0,21
"histoire";0,071;2,181;-0,889;-0,864
"heurter";0,071;-1,186;3,279;-0,864
"henckes";-1,087;-1,186;-0,889;10,458
"harmoniser";2,478;0,038;-0,889;-0,864
"harmonisation";0,071;0,038;0,188;-0,864
"habiliter";0,071;-1,186;3,279;-0,864
"gêner";-1,087;0,038;-0,889;3,408
"géographique";-1,087;2,181;0,188;-0,864
"graduel";0,071;-1,186;3,279;-0,864
"gouverner";2,478;-1,186;-0,889;0,21
"gouvernemental";-1,087;-1,186;3,279;0,21
"fur_et_à_mesure";-1,087;-1,186;3,279;0,21
"frontière";-1,087;0,038;3,279;-0,864
"fourniture";-1,087;0,038;3,279;-0,864
"formation";2,478;-1,186;0,188;-0,864
"fond";-1,087;-1,186;0,188;3,408
"fixation";0,071;-1,186;3,279;-0,864
"fidèle";-1,087;-1,186;0,188;3,408
"faute";0,071;0,038;-0,889;0,21
"fatalité";-1,087;7,616;-0,889;-0,864
"faiblesse";-1,087;2,181;0,188;-0,864
"facteur";0,071;0,038;0,188;-0,864
"facilité";-1,087;0,038;3,279;-0,864
"fabriquer";2,478;-1,186;0,188;-0,864
"exécuter";0,071;-1,186;0,188;0,21
"extrême";2,478;-1,186;0,188;-0,864
"exportateur";-1,087;-1,186;10,161;-0,864
"exigence";-1,087;0,038;3,279;-0,864
"exemple";0,071;2,181;-0,889;-0,864
"etats";-1,087;2,181;-0,889;0,21
"equipement";-1,087;-1,186;0,188;3,408
"entité";-1,087;2,181;0,188;-0,864
"ensanglanté";-1,087;7,616;-0,889;-0,864
"encourager";-1,087;2,181;0,188;-0,864
"emporter";0,071;0,038;-0,889;0,21
"effectivement";-1,087;0,038;3,279;-0,864
"désuni";-1,087;7,616;-0,889;-0,864
"dérouler";-1,087;0,038;-0,889;3,408
"dérogation";8,308;-1,186;-0,889;-0,864
"déposer";2,478;-1,186;-0,889;0,21
"déplacement";-1,087;-1,186;10,161;-0,864
"dépenser";-1,087;-1,186;10,161;-0,864
"défini";2,478;-1,186;0,188;-0,864
"décrire";0,071;0,038;0,188;-0,864
"découler";0,071;0,038;-0,889;0,21
"décartellisation";8,308;-1,186;-0,889;-0,864
"doter";-1,087;2,181;0,188;-0,864
"diviser";-1,087;0,038;0,188;0,21
"diversité";0,071;2,181;-0,889;-0,864
"discrimination";2,478;-1,186;0,188;-0,864
"différend";2,478;-1,186;0,188;-0,864
"destin";-1,087;7,616;-0,889;-0,864
"denis";0,071;-1,186;0,188;0,21
"demeure";-1,087;0,038;3,279;-0,864
"céder";-1,087;2,181;0,188;-0,864
"crise";0,071;0,038;0,188;-0,864
"coût";-1,087;-1,186;10,161;-0,864
"correction";0,071;-1,186;-0,889;3,408
"corps";0,071;2,181;-0,889;-0,864
"coordonner";-1,087;-1,186;10,161;-0,864
"cooptation";8,308;-1,186;-0,889;-0,864
"convenu";-1,087;-1,186;0,188;3,408
"contrôler";-1,087;0,038;3,279;-0,864
"contrevaleur";-1,087;-1,186;10,161;-0,864
"contradiction";0,071;0,038;-0,889;0,21
"contexte";0,071;2,181;-0,889;-0,864
"confusion";-1,087;0,038;3,279;-0,864
"confirmation";0,071;2,181;-0,889;-0,864
"condamner";-1,087;0,038;3,279;-0,864
"concerter";-1,087;2,181;0,188;-0,864
"comptoir";8,308;-1,186;-0,889;-0,864
"commentaire";-1,087;-1,186;3,279;0,21
"combler";-1,087;-1,186;10,161;-0,864
"collectivité";-1,087;0,038;3,279;-0,864
"collaborer";0,071;2,181;-0,889;-0,864
"cloisonnement";-1,087;-1,186;10,161;-0,864
"climat";-1,087;7,616;-0,889;-0,864
"circulation";0,071;-1,186;3,279;-0,864
"ci_jointe";0,071;-1,186;0,188;0,21
"charbonnier";0,071;0,038;-0,889;0,21
"champ";8,308;-1,186;-0,889;-0,864
"certitude";-1,087;-1,186;3,279;0,21
"capable";0,071;2,181;-0,889;-0,864
"bénéfice";-1,087;2,181;0,188;-0,864
"bâtiment";-1,087;-1,186;10,161;-0,864
"budgétaire";-1,087;0,038;3,279;-0,864
"brièvement";0,071;0,038;-0,889;0,21
"bowie";0,071;-1,186;-0,889;3,408
"bordeaux";-1,087;0,038;-0,889;3,408
"bloquer";0,071;-1,186;-0,889;3,408
"bilatéral";0,071;0,038;0,188;-0,864
"beau";-1,087;7,616;-0,889;-0,864
"barrière";-1,087;0,038;3,279;-0,864
"aveu";2,478;0,038;-0,889;-0,864
"autorisation";0,071;-1,186;3,279;-0,864
"auprès_des";2,478;-1,186;-0,889;0,21
"associé";0,071;0,038;0,188;-0,864
"approprié";0,071;0,038;0,188;-0,864
"approcher";0,071;2,181;-0,889;-0,864
"antérieur";0,071;0,038;0,188;-0,864
"annoncer";0,071;0,038;-0,889;0,21
"analogue";0,071;-1,186;0,188;0,21
"amélioration";-1,087;-1,186;10,161;-0,864
"amical";-1,087;-1,186;-0,889;10,458
"allèmagne";-1,087;2,181;0,188;-0,864
"ajuster";0,071;0,038;0,188;-0,864
"agence";8,308;-1,186;-0,889;-0,864
"adapter";-1,087;0,038;3,279;-0,864
"acte";0,071;-1,186;3,279;-0,864
"accueillir";-1,087;7,616;-0,889;-0,864
"acceptable";0,071;0,038;0,188;-0,864
"absolu";0,071;0,038;0,188;-0,864
"aborder";-1,087;2,181;-0,889;0,21
"abandon";-1,087;7,616;-0,889;-0,864
"de";1,532;-0,047;3,233;-8,356
"la";4,084;11,375;1,41;-48,842
"l";18,482;20,781;-2,276;-63,529
"être";-0,574;3,597;-0,166;-0,702
"et";0,692;5,148;1,702;-21,635
"les";6,648;-1,07;5,899;-16,516
"le";3,415;-0,048;-1,668;-0,178
"à";3,157;-1,873;-0,083;-0,013
"avoir";-0,007;-11,49;-12,695;54
"des";1,002;-11,318;52,621;-22,409
"en";0,489;-2,407;7,287;-3,182
"d";-0,723;3,82;16,814;-28,573
"que";-12,886;1,979;-14,624;37,701
"du";41,927;-23,011;0,191;-4,49
"une";-4,988;53,188;0,525;-39,068
"qui";1,99;0,754;-1,687;-1,269
"pour";-1,236;-2,774;30,879;-6,866
"dans";3,619;22,542;-4,915;-24,197
"au";-1,098;-1,241;-3,709;18,125
"il";-9,49;1,273;0,458;1,863
"ne";0,131;5,745;0,241;-12,055
"nous";-3,299;14,999;-17,822;3,97
"un";13,321;-1,519;0,002;-6,695
"par";3,55;-2,21;4,26;-6,105
"sur";0,744;-0,113;-0,218;-0,007
"pouvoir";2,883;0,587;-0,011;-6,368
"je";-16,109;-18,808;-53,333;265,981
"m";-10,851;-31,339;-44,881;265,748
"faire";-3,694;2,325;-2,664;4,138
"qu";-4,127;1,121;-0,084;1,694
"vous";-24,346;-39,103;-50,932;368,288
"ce";4,028;-1,087;-14,906;8,355
"pas";1,165;5,339;-0,41;-8,993
"avec";-2,345;0,616;-14,169;20,875
"cette";-1,134;3,231;-0,068;-0,304
"devoir";0;2,371;0,023;-3,333
"aux";1,742;-11,342;10,827;-1,152
"s";-0,125;0,806;0,74;-2,14
"plus";-8,578;12,316;5,176;-8,896
"ces";0,064;-5,928;11,624;-1,146
"si";-2,948;18,928;-2,27;-1,867
"se";-3,657;34,626;-2,932;-6,816
"j";-11,329;-15,652;-17,926;146,823
"elle";-3,293;11,449;6,413;-18,384
"entre";2,841;0;-4,582;0,147
"notre";-5,769;7,521;-0,152;-0,001
"mais";-0,873;18,408;-0,634;-8,106
"ainsi";-1,309;-0,295;-1,097;8,161
"leur";-0,687;0,959;3,022;-3,735
"ou";0,368;-0,001;1,18;-2,904
"même";0,055;0,481;2,813;-7,233
"son";1,605;0,718;-1,399;-1,141
"autres";0,037;0,448;-0,58;-0,025
"sans";0,541;-0,017;2,107;-4,418
"sa";1,531;0,351;-0,283;-2,008
"c";-1,286;8,999;0,203;-6,229
"dont";-5,329;0,13;7,299;-0,442
"nos";-2,74;-0,566;0,909;2,587
"comme";-2,612;-0,299;-0,67;9,801
"y";-2,933;5,628;-1,485;0,229
"mon";-8,194;-10,033;-18,545;116,702
"me";-10,065;-1,385;-5,067;47,704
"lui";-2,551;-0,471;-0,097;7,568
"ils";-1,728;6,562;0,28;-3,647
"ses";0,19;-1,524;1,526;-0,138
"bien";-2,697;-6,115;-3,141;38,48
"vouloir";-3,999;-2,25;-9,215;46,282
"tout";-2,99;3,799;0,443;-0,894
"point";1,555;-4,123;-1,087;3,703
"monsieur";-6,143;-17,413;-16,403;125,994
"où";-0,522;7,368;-0,439;-2,257
"leurs";-0,126;-0,132;0,913;-0,037
"votre";-4,778;-4,683;-4,85;47,32
"deux";0,681;0,629;-2,335;-0,037
"croire";-6,143;0,175;-6,301;22,147
"1";-0,655;-3,98;-0,257;12,439
"savoir";-0,002;-0,404;-6,599;11,037
"après";10,954;-11,058;-8,35;8,994
"très";-7,761;-0,001;0,101;7,159
"six";3,927;-6,776;4,426;-1,979
"2";-0,781;-0,735;-0,809;7,681
"cet";1,78;-4,398;0,511;0,018
"on";-1,069;25,513;-5,728;-3,821
"laquelle";-0,067;1,055;-0,925;0,018
"tous";-1,302;9,112;-1,518;-0,662
"3";0,885;-5,411;0,285;0,961
"ci_joint";-3,892;-14,555;-3,201;64,363
"elles";-0,863;0,035;3,251;-1,07
"donc";0,07;-0,446;0,792;-0,207
"toutes";-0,34;-0,023;2,072;-0,446
"autre";1,914;1,2;-0,667;-3,346
"aussi";-0,056;1,448;-0,552;-0,091
"avant";4,759;-3,409;-4,829;3,604
"dès";-0,167;1,168;-0,926;0,055
"outre";-0,581;-0,999;4,057;-0,02
"encore";-1,069;-0,044;-0,018;2,132
"dire";-7,278;0;-2,265;19,285
"1952";-4,148;0,907;11,423;-5,183
"maintenant";-0,102;1,422;0,058;-1,43
"afin";0,569;-5,359;-1,598;8,867
"non";0,055;1,137;-0,121;-1,106
"falloir";-3,025;13,46;0,099;-5,956
"depuis";0,937;-1,189;-1,253;1,641
"toute";-2,758;5,341;0,67;-2,443
"déjà";-2,498;0,021;-2,406;9,496
"sous";-1,019;1,362;0,52;-0,843
"alors";-0,041;7,568;-3,346;-0,843
"c_est_à_dire";11,785;0;-0,307;-9,363
"b";2,386;-1,242;-0,001;-0,16
"aujourd_hui";-1,019;0,14;-5,081;8,629
"enfin";3,317;-0,251;-0,521;-0,439
"ici";-5,499;0,208;0,533;1,582
"ni";-0,176;-0,33;1,14;0
"mes";-7,343;-2,454;-5,689;48,622
"4";-0,006;-2,454;-0,288;5,364
"trois";5,973;-0,23;-0,67;-1,558
"tant";0,239;0,52;0,001;-1,769
"ma";-0,56;-3,317;-3,163;20,759
"eux";-2,183;1,349;0,766;-0,327
"celle";0,002;-0,024;-0,193;0,322
"aucun";0,572;1,017;-1,472;-0,449
"5";1,872;-1,761;0,054;-0,063
"telle";-0,03;8,027;-0,524;-4,624
"jusqu_à";0,807;0,053;-0,016;-1,157
"attention";3,952;-1,888;-0,115;-0,079
"certaines";-0,03;-1,621;7,312;-1,353
"an";-2,466;-0,13;21,74;-6,99
"différents";-0,278;-0,056;1,892;-0,327
"9";-0,278;6,55;-4,515;-0,005
"contre";0,123;-0,108;0,054;-0,063
"certains";0,044;0,266;-0,879;0,027
"celui";-2,844;0,029;8,48;-1,771
"lors";0,499;-2,055;-2,134;5,168
"6";0,738;-0,686;-1,888;1,875
"là";-0,025;-0,108;1,702;-0,625
"concernant";-0,447;1,366;-1,888;0,688
"plusieurs";-0,913;-2,646;4,825;0,312
"moins";-2,532;-0,496;9,687;-0,473
"hier";-4,466;-5,02;-1,649;35,513
"devant";2,981;-0,33;-0,004;-1,318
"celles";0,014;0,228;2,664;-5,225
"car";-1,143;5,607;-1,649;-0,018
"15";0,014;-2,646;-5,377;15,779
"lesquelles";2,981;-0,33;-1,416;0
"lequel";-1,927;5,14;-1,192;0,014
"chaque";1,416;-1,211;2,664;-2,948
"ceux";0,99;-1,985;1,974;-0,898
"cependant";1,416;-0,33;2,664;-5,225
"quelques";-0,081;-0,959;0,005;1,666
"pendant";0;-0,513;0,127;0,165
"grâce";-0,505;-3,866;19,332;-2,405
"1950";-3,415;-0,086;10,241;-0,898
"quatre";-3,415;-3,866;38,339;-4,639
"mm";-1,732;-4,367;-1,185;22,596
"quant";0;-0,02;-0,773;1,058
"or";0;-0,513;4,882;-2,138
"moi";-2,39;-0,176;-3,873;16,619
"million";-1,732;-2,011;10,466;-0,109
"chacun";3,134;-3,487;0,127;-0,047
"celui_ci";-1,357;2,517;-0,773;0,165
"celle_ci";1,4;-0,513;-2,242;1,058
"vers";-5,104;5,789;-0,016;-0,006
"toujours";-0,191;0,001;0,265;-0,006
"parce_que";-4,736;15,265;0;-3,763
"bon";-2,728;0,001;1,331;0,318
"60";2,577;-5,167;1,818;-0,363
"vos";-0,399;-2,011;-1,185;10,896
"vis_à_vis";2,577;2,059;-1,702;-3,763
"selon";-0,839;7,134;-1,702;-0,363
"rien";0,119;0,667;-1,702;0,004
"quand";-0,082;-0,176;0,469;0,004
"ci_dessus";2,577;-0,176;-1,702;0,004
"cela";-0,082;2,059;-1,702;0,004
"beaucoup";-0,015;0,151;0,032;-0,223
"1947";-2,39;-5,167;21,758;-0,363
"diverses";0,284;-0,065;0,032;-0,223
"divers";1,413;-2,372;0,758;-0,223
"chez";-1,732;-0,006;1,152;0,156
"certain";1,413;-0,065;-0,26;-0,223
"14";-0,606;-0,805;2,435;0,05
"ceux_ci";2,025;-0,558;-3,273;1,259
"autant";-1,732;-0,006;1,152;0,156
"aucune";-1,732;-0,558;1,152;1,259
"ailleurs";0,003;-4,367;1,152;1,259
"11";0,003;-4,367;0,124;3,416
"000";-2,178;-2,375;2,524;2,66
"tel";-0,222;-1,659;4,216;-0,031
"mêmes";0,061;0,679;-0,046;-0,88
"longtemps";0,061;-0,341;-0,046;0,342
"jamais";-1,107;1,163;-0,002;0
"elle_même";0,061;0,679;0,294;-2,89
"demain";-0,222;-3,968;-0,939;13,184
"auxquelles";-0,222;2,336;-0,046;-0,88
"8";0,213;-1,316;-0,002;0,633
"12";5,764;-3,968;-2,974;1,813
"10";5,764;-3,968;0,294;-0,88
"peut_être";-0,087;1,163;-0,002;-0,656
"malgré";-1,107;-0,164;5,502;-0,656
"lui_même";-0,087;0,113;-0,704;0,633
"lorsque";0,213;0,113;-0,002;-0,656
"jusqu";-1,107;3,314;0,567;-2,599
"7";0,213;-1,316;5,502;-2,599
"50";-2,907;-3,171;19,083;-0,447
"22";-0,815;-0,988;-2,376;12,861
"1954";-1,107;6,566;-0,002;-2,599
"1953";3,898;-1,316;0,567;-2,599
"telles";0,493;0,336;-0,486;-0,447
"quelles";0,493;0,336;-2,376;0,033
"quelle";-0,815;-0,988;0,983;1,068
"lorsqu";5,32;-3,171;0,022;-0,447
"loin";-2,907;-0,043;7,182;-0,447
"lesquels";-0,815;1,866;0,983;-2,309
"environ";-2,907;-3,171;12,42;0,033
"dehors";0,493;-0,988;0,022;0,033
"auprès";2,263;-3,171;0,022;0,033
"61";9,665;-3,171;-0,486;-0,447
"1951";-0,01;-0,988;0,983;0,033
"1948";-0,815;-3,171;3,369;1,068
"vous_même";-0,543;0;-2,078;4,914
"u";-1,814;12,708;-1,483;-1,441
"tiens";-0,543;-0,68;-2,078;9,774
"tels";-0,543;0,735;-0,291;0,158
"surtout";-0,543;2,883;0,132;-2,019
"pourquoi";-0,543;0,735;1,601;-2,019
"peu";0,015;0;1,601;-2,019
"mieux";-0,543;2,883;0,132;-2,019
"fort";-0,543;6,445;-2,078;-0,262
"e";-0,111;0,339;-0,023;-0,016
"duquel";0,957;0;-2,078;0,158
"douze";1,695;-0,401;-1,78;0,421
"cinq";-2,178;0,075;0,377;0,421
"auxquels";0,015;-0,68;1,601;-0,262
"auquel";-2,542;0,735;-2,078;4,914
"t";-0,302;0,075;0,377;-0,111
"plupart";0,141;-2,375;-1,78;6,828
"parmi";0,141;-0,401;-0,13;0,421
"ensuite";-0,302;-0,401;-0,13;2,66
"d_abord";1,695;0,075;-0,13;-1,73
"chacune";-0,302;-2,375;6,57;-0,111
"celles_ci";4,964;-2,375;0,377;-1,73
"50000";-1,087;-1,186;0,188;3,408
"1949";-0,005;-1,582;1,681;0,017
"1946";-2,178;-0,401;6,57;-0,111
"tard";0,464;-0,17;-0,023;-0,016
"souvent";0,464;-0,17;-0,023;-0,016
"quoi";-0,111;-1,978;0,84;0,904
"quelque";-1,087;7,616;-0,889;-0,864
"quel";0,464;2,485;-1,483;-1,441
"presque";-0,111;2,485;-1,483;-0,016
"personne";0,464;-0,17;-1,483;0,904
"nous_mêmes";-0,111;0,339;-0,023;-0,016
"moi_même";-1,814;-1,978;-1,483;17,449
"ceci";0,464;-0,17;-0,023;-0,016
"56";0,464;-1,978;0,84;-0,016
"31";-0,111;-1,978;-0,023;4,105
"250";-1,814;-1,978;-1,483;17,449
"25";2,874;-1,978;-1,483;0,904
"20";2,874;-0,17;-1,483;-0,016
"18";7,34;-0,17;-1,483;-1,441
"17";-0,005;-0,021;-1,186;1,771
"vite";-1,45;10,161;-1,186;-1,152
"toutefois";-1,45;-1,582;0,011;6,416
"soudain";-1,45;0,931;0,011;0,017
"sinon";-0,005;-0,021;0,011;0,017
"sic";11,084;-1,582;-1,186;-1,152
"g";-1,087;-1,186;-0,889;10,458
"franco";4,822;-1,582;-1,186;0,017
"eux_mêmes";1,129;0,931;-1,186;-1,152
"comment";-1,45;0,931;0,011;0,017
"autour";-0,005;0,931;0,011;-1,152
"800";-1,45;-1,582;1,681;1,771
"54";-1,087;-1,186;0,188;3,408
"53";-1,45;-1,582;6,196;0,017
"28";-1,45;0,931;0,011;0,017
"27";4,822;-0,021;-1,186;-1,152
"21";11,084;-1,582;-1,186;-1,152
"16";-0,005;-1,582;1,681;0,017
"vôtre";-1,087;0,038;0,188;0,21
"unes";-1,087;2,181;0,188;-0,864
"puisque";-1,087;2,181;0,188;-0,864
"puisqu";-1,087;0,038;0,188;0,21
"près";8,308;-1,186;-0,889;-0,864
"o";-1,087;2,181;0,188;-0,864
"moindre";-1,087;2,181;0,188;-0,864
"lendemain";-1,087;2,181;-0,889;0,21
"jusqu_au";8,308;-1,186;-0,889;-0,864
"f";-1,087;0,038;3,279;-0,864
"dix";2,478;-1,186;0,188;-0,864
"demi";0,071;0,038;0,188;-0,864
"ci_après";0,071;-1,186;0,188;0,21
"certaine";-1,087;2,181;0,188;-0,864
